wfm_category,job_type
Boundary Survey,survey
Boundary,survey
Detail Survey,survey
Detailed Survey,survey
Feature Survey,survey
Subdivision,survey
Identification Survey,survey
Identification,survey
Easement,survey
Sewer & Water Design,sewer_water
Sewer and Water Design,sewer_water
Building Format Plan,survey
Community Title,survey
Drafting,survey
